edge_id,date,day_of_week,is_weekend,hour,weather,is_rush_hour,congestion_level
"(1356243636, 1356243715, 0)",2026-05-15,4,1,11,1,0,1
"(6573704012, 6573704007, 0)",2026-06-18,3,0,12,0,0,1
"(1323345833, 1341987054, 0)",2026-06-21,6,0,17,0,0,2
"(6554445243, 11929623151, 0)",2026-05-15,4,1,21,1,0,8
"(1173885926, 6573897495, 0)",2026-05-04,0,0,18,0,0,1
"(2442418232, 1179694631, 0)",2026-06-19,4,1,8,0,1,3
"(1324181418, 6545381135, 0)",2026-07-11,5,1,14,0,1,3
"(1357399489, 1357399332, 0)",2026-05-16,5,1,21,0,0,5
"(3526130192, 3526130191, 0)",2026-05-27,2,0,14,0,1,6
"(1175877701, 1175876747, 0)",2026-07-23,3,0,9,2,1,10
"(1364900835, 719869622, 0)",2026-07-09,3,0,20,0,0,3
"(1371382516, 6630661890, 0)",2026-06-04,3,0,14,0,1,7
"(1334014231, 6754562268, 0)",2026-05-07,3,0,22,0,0,1
"(1343821189, 1343821154, 0)",2026-07-10,4,1,9,2,1,4
"(1172905066, 1172905094, 0)",2026-07-11,5,1,7,0,1,1
"(1350752677, 1350752992, 0)",2026-05-26,1,0,6,0,0,1
"(7456067127, 1356940127, 0)",2026-05-25,0,0,7,0,1,8
"(8278633101, 6558106796, 0)",2026-06-29,0,0,10,0,0,1
"(1328079405, 6581812777, 0)",2026-05-12,1,0,17,1,0,3
"(1331244754, 1331244877, 0)",2026-07-14,1,0,13,0,0,2
"(1330537648, 6554845384, 0)",2026-05-11,0,0,13,0,0,1
"(6546989131, 1330820209, 0)",2026-07-17,4,1,14,0,1,2
"(1175373522, 1175375870, 0)",2026-06-03,2,0,14,0,1,7
"(1329698771, 1329698284, 0)",2026-05-20,2,0,7,0,1,6
"(6552417220, 6559364630, 0)",2026-05-18,0,0,17,0,0,1
"(1356917776, 1356920642, 0)",2026-07-22,2,0,19,0,0,3
"(6738766745, 1324570438, 0)",2026-07-20,0,0,19,1,0,1
"(5755970972, 5755970962, 0)",2026-06-10,2,0,21,0,0,3
"(1326941345, 1326941569, 0)",2026-07-27,0,0,13,0,0,1
"(6581442350, 6581442349, 0)",2026-07-04,5,1,9,0,1,1
"(6542903703, 6542903721, 0)",2026-07-07,1,0,10,0,0,3
"(6552768140, 1330947542, 0)",2026-05-25,0,0,18,0,0,2
